Date,Close/Last,Volume,Open,High,Low
01/13/2023,$134.76,57809720,$132.03,$134.92,$131.66
01/12/2023,$133.41,71379650,$133.88,$134.26,$131.44
01/11/2023,$133.49,69458950,$131.25,$133.51,$130.46
01/10/2023,$130.73,63896160,$130.26,$131.2636,$128.12
01/09/2023,$130.15,70790810,$130.465,$133.41,$129.89
01/06/2023,$129.62,87754720,$126.01,$130.29,$124.89
01/05/2023,$125.02,80962710,$127.13,$127.77,$124.76
01/04/2023,$126.36,89113630,$126.89,$128.6557,$125.08
01/03/2023,$125.07,112117500,$130.28,$130.9,$124.17
12/30/2022,$129.93,77034210,$128.41,$129.95,$127.43
12/29/2022,$129.61,75703710,$127.99,$130.4814,$127.73
12/28/2022,$126.04,85438390,$129.67,$131.0275,$125.87
12/27/2022,$130.03,69007830,$131.38,$131.41,$128.72
12/23/2022,$131.86,63814890,$130.92,$132.415,$129.64
12/22/2022,$132.23,77852110,$134.352,$134.56,$130.3
12/21/2022,$135.45,85927990,$132.98,$136.81,$132.75
12/20/2022,$132.3,77432820,$131.39,$133.25,$129.89
12/19/2022,$132.37,79592610,$135.11,$135.2,$131.32
12/16/2022,$134.51,160156900,$136.685,$137.65,$133.73
12/15/2022,$136.5,98931910,$141.11,$141.8,$136.025
12/14/2022,$143.21,82291180,$145.35,$146.655,$141.16
12/13/2022,$145.47,93886160,$149.5,$149.9692,$144.24
12/12/2022,$144.49,70462650,$142.7,$144.5,$141.06
12/09/2022,$142.16,76097010,$142.34,$145.57,$140.9
12/08/2022,$142.65,62128340,$142.36,$143.52,$141.1
12/07/2022,$140.94,69721090,$142.19,$143.37,$140
12/06/2022,$142.91,64727190,$147.075,$147.3,$141.92
12/05/2022,$146.63,68826440,$147.77,$150.9199,$145.77
12/02/2022,$147.81,65447450,$145.96,$148,$145.65
12/01/2022,$148.31,71250420,$148.21,$149.13,$146.61
11/30/2022,$148.03,111380900,$141.395,$148.72,$140.55
11/29/2022,$141.17,83763800,$144.29,$144.81,$140.355
11/28/2022,$144.22,69346520,$145.14,$146.64,$143.38
11/25/2022,$148.11,35195860,$148.305,$148.88,$147.12
11/23/2022,$151.07,58301400,$149.45,$151.83,$149.34
11/22/2022,$150.18,51804130,$148.13,$150.42,$146.925
11/21/2022,$148.01,58724070,$150.16,$150.37,$147.715
11/18/2022,$151.29,74829570,$152.305,$152.7,$149.97
11/17/2022,$150.72,80389400,$146.43,$151.48,$146.15
11/16/2022,$148.79,64218270,$149.13,$149.87,$147.29
11/15/2022,$150.04,89868330,$152.215,$153.59,$148.5613
11/14/2022,$148.28,73374110,$148.97,$150.28,$147.43
11/11/2022,$149.7,93979670,$145.82,$150.01,$144.37
11/10/2022,$146.87,118854000,$141.24,$146.87,$139.5
11/09/2022,$134.87,74917790,$138.5,$138.55,$134.5933
11/08/2022,$139.5,89908480,$140.41,$141.43,$137.49
11/07/2022,$138.92,83374630,$137.11,$139.145,$135.671
11/04/2022,$138.38,140814800,$142.09,$142.67,$134.38
11/03/2022,$138.88,97918520,$142.06,$142.8,$138.75
11/02/2022,$145.03,93604620,$148.945,$152.17,$145
11/01/2022,$150.65,80379350,$155.08,$155.45,$149.13
10/31/2022,$153.34,97943170,$153.155,$154.24,$151.92
10/28/2022,$155.74,164762400,$148.2,$157.5,$147.82
10/27/2022,$144.8,109180200,$148.07,$149.046,$144.13
10/26/2022,$149.35,88436170,$150.96,$151.99,$148.04
10/25/2022,$152.34,74732290,$150.09,$152.49,$149.36
10/24/2022,$149.45,75981920,$147.185,$150.23,$146
10/21/2022,$147.27,86548610,$142.87,$147.8479,$142.649
10/20/2022,$143.39,64521990,$143.02,$145.89,$142.65
10/19/2022,$143.86,61758340,$141.69,$144.9492,$141.5
10/18/2022,$143.75,99136610,$145.49,$146.7,$140.61
10/17/2022,$142.41,85250940,$141.065,$142.9,$140.27
10/14/2022,$138.38,88597970,$144.31,$144.52,$138.19
10/13/2022,$142.99,113224000,$134.99,$143.59,$134.37
10/12/2022,$138.34,70433740,$139.13,$140.36,$138.16
10/11/2022,$138.98,77033670,$139.9,$141.35,$138.22
10/10/2022,$140.42,74899000,$140.42,$141.89,$138.5729
10/07/2022,$140.09,85925560,$142.54,$143.1,$139.445
10/06/2022,$145.43,68402170,$145.81,$147.54,$145.22
10/05/2022,$146.4,79470970,$144.075,$147.38,$143.01
10/04/2022,$146.1,87830060,$145.03,$146.22,$144.26
10/03/2022,$142.45,114311700,$138.21,$143.07,$137.685
09/30/2022,$138.2,124925300,$141.28,$143.1,$138
09/29/2022,$142.48,128138200,$146.1,$146.72,$140.68
09/28/2022,$149.84,146691400,$147.64,$150.6414,$144.84
09/27/2022,$151.76,84442740,$152.74,$154.72,$149.945
09/26/2022,$150.77,93339410,$149.66,$153.7701,$149.64
09/23/2022,$150.43,96029910,$151.19,$151.47,$148.56
09/22/2022,$152.74,86652540,$152.38,$154.47,$150.91
09/21/2022,$153.72,101696800,$157.34,$158.74,$153.6
09/20/2022,$156.9,107689800,$153.4,$158.08,$153.08
09/19/2022,$154.48,81474250,$149.31,$154.56,$149.1
09/16/2022,$150.7,162278800,$151.21,$151.35,$148.37
09/15/2022,$152.37,90481110,$154.65,$155.24,$151.38
09/14/2022,$155.31,87965410,$154.785,$157.1,$153.6106
09/13/2022,$153.84,122656600,$159.9,$160.54,$153.37
09/12/2022,$163.43,104956000,$159.59,$164.26,$159.3
09/09/2022,$157.37,68081010,$155.47,$157.82,$154.75
09/08/2022,$154.46,84923850,$154.64,$156.36,$152.68
09/07/2022,$155.96,87449570,$154.825,$156.67,$153.61
09/06/2022,$154.53,73714840,$156.47,$157.09,$153.69
09/02/2022,$155.81,76957770,$159.75,$160.362,$154.965
09/01/2022,$157.96,74229900,$156.64,$158.42,$154.67
08/31/2022,$157.22,87991090,$160.305,$160.58,$157.14
08/30/2022,$158.91,77906200,$162.13,$162.56,$157.72
08/29/2022,$161.38,73313950,$161.145,$162.9,$159.82
08/26/2022,$163.62,78960980,$170.57,$171.05,$163.56
08/25/2022,$170.03,51218210,$168.78,$170.14,$168.35
08/24/2022,$167.53,53841520,$167.32,$168.11,$166.245
08/23/2022,$167.23,54147080,$167.08,$168.71,$166.65
08/22/2022,$167.57,69026810,$169.69,$169.86,$167.135
08/19/2022,$171.52,70346300,$173.03,$173.74,$171.3101
08/18/2022,$174.15,62290080,$173.75,$174.9,$173.12
08/17/2022,$174.55,79542040,$172.77,$176.15,$172.57
08/16/2022,$173.03,56377050,$172.78,$173.71,$171.6618
08/15/2022,$173.19,54091690,$171.52,$173.39,$171.345
08/12/2022,$172.1,68039380,$169.82,$172.17,$169.4
08/11/2022,$168.49,57149160,$170.06,$170.99,$168.19
08/10/2022,$169.24,70170540,$167.68,$169.34,$166.9
08/09/2022,$164.92,63135500,$164.02,$165.82,$163.25
08/08/2022,$164.87,60362340,$166.37,$167.81,$164.2
08/05/2022,$165.35,56696990,$163.21,$165.85,$163
08/04/2022,$165.81,55474140,$166.005,$167.19,$164.43
08/03/2022,$166.13,82507490,$160.84,$166.59,$160.75
08/02/2022,$160.01,59907030,$160.1,$162.41,$159.63
08/01/2022,$161.51,67829380,$161.01,$163.59,$160.89
07/29/2022,$162.51,101786900,$161.24,$163.63,$159.5
07/28/2022,$157.35,81378730,$156.98,$157.64,$154.41
07/27/2022,$156.79,78620690,$152.58,$157.33,$152.16
