,symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
0,sh600000,600000,浦发银行,9.390,-0.04,-0.424,9.380,9.390,9.430,9.450,9.490,9.350,39006807,367745389,15:00:00,4.815,0.546,27561651.677568,27561651.677568,0.13289
1,sh600004,600004,白云机场,13.610,-0.07,-0.512,13.610,13.620,13.680,13.700,13.730,13.520,8751916,119252757,15:00:00,28.354,1.711,2816345.219554,2816345.219554,0.42294
2,sh600006,600006,东风汽车,4.870,0.01,0.206,4.860,4.870,4.860,4.860,4.930,4.790,19267688,93772605,15:00:01,22.016,1.287,974000.0,974000.0,0.96338
3,sh600007,600007,中国国贸,13.100,-0.15,-1.132,13.100,13.140,13.250,13.250,13.270,13.000,1244900,16388323,15:00:01,13.505,1.737,1319540.11954,1319540.11954,0.12359
4,sh600008,600008,首创股份,2.900,-0.04,-1.361,2.890,2.900,2.940,2.920,2.940,2.870,30239291,87564064,15:00:15,17.2,1.489,2128771.29633,2128771.29633,0.41195
5,sh600009,600009,上海机场,68.780,-0.41,-0.593,68.770,68.780,69.190,69.180,69.760,68.550,5887583,406492576,15:00:15,26.352,4.404,13253620.205344,7520930.658566,0.53843
6,sh600010,600010,包钢股份,1.150,0.0,0.0,1.140,1.150,1.150,1.150,1.160,1.140,105383472,121018711,15:00:01,95.833,0.995,5242278.75452,3642879.332505,0.33268
7,sh600011,600011,华能国际,5.410,0.11,2.075,5.400,5.410,5.300,5.270,5.480,5.270,18302057,98862324,15:00:01,90.167,1.121,8492668.507219,5949761.066179,0.16642
8,sh600012,600012,皖通高速,5.180,-0.06,-1.145,5.180,5.190,5.240,5.250,5.250,5.150,2607900,13576103,15:00:00,7.828,0.821,859159.98,603780.8,0.22374
9,sh600015,600015,华夏银行,6.130,-0.01,-0.163,6.120,6.130,6.140,6.150,6.170,6.110,16853738,103467170,15:00:15,4.474,0.449,9432368.301579,7860306.918289,0.13144
10,sh600016,600016,民生银行,5.300,0.0,0.0,5.290,5.300,5.300,5.320,5.340,5.290,54891599,291700983,15:00:01,4.344,0.507,23204681.80606,18794925.30289,0.15479
11,sh600017,600017,日照港,2.750,-0.02,-0.722,2.750,2.760,2.770,2.770,2.790,2.730,7052198,19477648,15:00:01,13.095,0.697,845804.8192,845804.8192,0.22929
12,sh600018,600018,上港集团,4.180,-0.01,-0.239,4.170,4.180,4.190,4.190,4.200,4.160,10223576,42760115,15:00:01,10.688,1.173,9686596.0037,9686596.0037,0.04412
13,sh600019,600019,宝钢股份,4.990,0.03,0.605,4.990,5.000,4.960,4.970,5.020,4.940,38402549,191668684,15:00:00,8.911,0.63,11113372.774375,11055835.329875,0.17333
14,sh600020,600020,中原高速,3.450,-0.02,-0.576,3.440,3.450,3.470,3.460,3.480,3.430,4088417,14131562,15:00:01,6.026,0.783,775343.28204,775343.28204,0.18192
15,sh600021,600021,上海电力,7.510,-0.02,-0.266,7.510,7.520,7.530,7.560,7.590,7.450,4409101,33107256,15:00:01,20.809,1.208,1965490.311947,1762781.975055,0.18784
16,sh600022,600022,山东钢铁,1.350,-0.02,-1.46,1.350,1.360,1.370,1.370,1.370,1.350,43807321,59439286,15:00:01,25.52,0.711,1477784.19816,1477784.19816,0.40019
17,sh600023,600023,浙能电力,3.630,-0.09,-2.419,3.630,3.640,3.720,3.710,3.720,3.620,16194991,59250698,15:00:01,11.344,0.776,4937050.465644,4937050.465644,0.11907
